	 Индустриализация	 Изменение концентрации CO2	 Изменение климата	 Утрата биоразнообразия	 Подкисление океана	 Круговорот фосфора и азота	 Землепользование (рост городов)	 Химическое загрязнение экосистем	 Разрушение стратосферного озона	 Концентрация аэрозолей в атмосфере	 Увеличение спроса на пресную воду	Использование в сельском хозяйстве (увеличение площади пахотных земель)
 Индустриализация	0	1	0	0	0	0	0.5	1	1	0	0.75	0.5
 Изменение концентрации CO2	0	0	1	0	0.75	0	0	0	0	0	0	0
 Изменение климата	0	0	0	0	0	0	0	0	0	0	0.5	0
 Утрата биоразнообразия	0	0.25	0.25	0	0	0	0	0	0	0	0.25	0
 Подкисление океана	0	0	0	0.5	0	0	0	0	0	0	0	0
 Круговорот фосфора и азота	0	0	0.25	0.5	0	0	0	0.25	0	0	0	0
 Землепользование (рост городов)	0	0.75	0	1	0	0	0	0	0	0	0	0
 Химическое загрязнение экосистем	0	0	0	0.25	0	0	0	0	0.75	0.75	0	0
 Разрушение стратосферного озона	0	0	0	0.5	0	0	0	0	0	0	0	0
 Концентрация аэрозолей в атмосфере	0	0	0	0	0	0	0	0	0	0	0	0
 Увеличение спроса на пресную воду	0	0	0	0.5	0	0	0	0	0	0	0	0
Использование в сельском хозяйстве (увеличение площади пахотных земель)	0	0	0	0	0	0.75	0.75	0	0	0	0.75	0
