	 Температура воды	 Инвазивные виды	 Зоны с дефицитом кислорода	 Вредное цветение водорослей	 Ухудшение качества воды	 Интенсивность, частота и продолжительность выпадения осадков	 Чистый сток из бассейна	 Загрязнение биогенными веществами	 Спортивная рыбалка	 Наличие и качество мест обитаний	 Водно-болотные угодья, трясины, топи и заросли тростника	 Зимний ледяной покров
 Температура воды	0	0.35	0.31	0.33	0	0	0	0	0	0	0	0
 Инвазивные виды	0	0	0	0	0	0	0	0	0	0.08	0	0
 Зоны с дефицитом кислорода	0	0	0	0	0.5	0	0	0	0	0	0	0
 Вредное цветение водорослей	0	0	0	0	0.49	0	0	0	-0.23	0	0	0
 Ухудшение качества воды	0	0	0	0	0	0	0	0	0	-0.2	0	0
 Интенсивность, частота и продолжительность выпадения осадков	0	0	0	0	0	0	0.82	0	0	0	0	0
 Чистый сток из бассейна	0	0	0	0	0	0	0	0.34	0	0	0.18	0
 Загрязнение биогенными веществами	0	0	0	0.4	0	0	0	0	0	0	0	0
 Спортивная рыбалка	0	0	0	0	0	0	0	0	0	0	0	0
 Наличие и качество мест обитаний	0	0	0	0	0	0	0	0	0.8	0	0	0
 Водно-болотные угодья, трясины, топи и заросли тростника	0	0	0	0	0	0	0	0	0	0.28	0	0
 Зимний ледяной покров	0	0	0	0	0	0	0	0	0.38	0	0	0
