	 Дорожные расходы	 Расходы на проживание	 Визовые расходы	 Удаленность от родного города	 Доступность	 Безопасность	 Климат	 Имидж местоположения	 Возможности для проживания	 Репутация конференции	 Регистрационный взнос	 Возможности публикации	 Академическая репутация членов комитета	 Содержание программы конференции	 Репутация основных докладчиков	 Чувство сопричастности	 Возможности научного общения 	 Профили других участников 	 Дата проведения конференции	 Продолжительность конференции	 Социальная программа	 Возможности для отдыха	 Ночная жизнь
 Дорожные расходы	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Расходы на проживание	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Визовые расходы	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Удаленность от родного города	0.9	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Доступность	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Безопасность	0	0	0	0	0	0	0	0.9	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Климат	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0.9	0	0.3	0.1	0
 Имидж местоположения	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0
 Возможности для проживания	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Репутация конференции	0	0	0	0	0	0	0	0	0	0	0.9	0.6	0.3	0	0.3	0.1	0.9	0.9	0	0	0	0	0
 Регистрационный взнос	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Возможности публикации	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.3	0	0	0	0	0
 Академическая репутация членов комитета	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0.1	0	0	0	0	0	0	0	0
 Содержание программы конференции	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0
 Репутация основных докладчиков	0	0	0	0	0	0	0	0	0	0.9	0.1	0	0	0	0	0	0	0	0	0	0	0	0
 Чувство сопричастности	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Возможности научного общения 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Профили других участников 	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0
 Дата проведения конференции	0.6	0.6	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Продолжительность конференции	0	0.3	0	0	0	0	0	0	0	0.6	0.3	0	0	0	0	0	0	0	0	0	0.3	0	0
 Социальная программа	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
 Возможности для отдыха	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0.6
 Ночная жизнь	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
