	 Спрос на древесину	 Количество владельцев	 Трудности в управлении лесами	 Заброшенность земель	 Заброшенность пастбищ	 Незаконные рубки леса	 Обеспечение соблюдения лесной политики	 Освоение земель	 Риск оползней	 Охрана природы	 Сплошная вырубка лесов	 Обеспеченность средствами к существованию	 Деградация среды обитания	 Открытые склоны	 Возникновение оползней	 Сток воды	 Эрозия почвы
 Спрос на древесину	0	0	0.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
 Количество владельцев	0	0	1	0.5	0	0.25	0	0.75	0	0	0	0	0	0	0	0	0
 Трудности в управлении лесами	0	0	0	0	0	0	-0.6	0	0	0	0	0	0	0	0	0	0
 Заброшенность земель	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0
 Заброшенность пастбищ	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0
 Незаконные рубки леса	0	0	0.25	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0
 Обеспечение соблюдения лесной политики	0	0	0	0	0	-0.75	0	0	0	0	-0.5	0	0	0	0	0	0
 Освоение земель	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
 Риск оползней	0	0	0.25	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
 Охрана природы	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.75	0	0	0	0
 Сплошная вырубка лесов	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
 Обеспеченность средствами к существованию	0	0	0	0.25	0	-1	0	0.75	0	0	0	0	0	0	0	0	0
 Деградация среды обитания	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Открытые склоны	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.75
 Возникновение оползней	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0
 Сток воды	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0
 Эрозия почвы	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
