	 Корма	 Сбор огородных культур	 Размытые границы	 Денежные переводы	 Засуха	 Содержание скота в домашнем хозяйстве	 Деятельность вне фермы	 Наличные деньги	 Продукты питания в домашнем хозяйстве	 Донорские продукты питания 	 Браконьерство	 Сборы	 Общий урожай	 Государственные учреждения землепользования	 Сбор урожая в долине Влей
 Корма	0	0	0	0	0	-0.25	0	0	0	0	0	0	0.25	0	0
 Сбор огородных культур	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
 Размытые границы	0	0	0	0.5	0	0	0.25	0	0.25	0	0	0	0	0	0
 Денежные переводы	0	0	0	0	0	0	-0.25	0.5	0	-0.5	0	0	0	0	0
 Засуха	-0.75	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	-0.5
 Содержание скота в домашнем хозяйстве	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0.5
 Деятельность вне фермы	0	0	0	0	0	-0.5	0	0.5	0.25	0	0.25	0	0	0	-0.25
 Наличные деньги	0	0	0	0	0	0	-0.75	0	0.5	0	0	0	0	0	0
 Продукты питания в домашнем хозяйстве	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Донорские продукты питания 	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
 Браконьерство	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0
 Сборы	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
 Общий урожай	0.5	0	0	-0.25	0	0	0	0	0.25	-0.5	0	0	0	0	0
 Государственные учреждения землепользования	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0.25	0	0
 Сбор урожая в долине Влей	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0
