	 Корм	 Урожай огородных культур	 Животные, наносящие вред за пределами парка	 Нечеткие границы	 Количество проданного скота	 Крупный рогатый скот в домашнем хозяйстве	 Доступные денежные средства	 Питание в домохозяйстве (обеспечение домохозяйства продовольствием)	 Засуха	 Падеж крупного рогатого скота	 Кража скота	 Общий урожай	 Браконьерство	 Использование клубней жомбве	 Болезни	 Государственные учреждения землепользования	 Платежи	 Сбор урожая высокогорных культур	 Урожай на горных склонах
 Корм	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0
 Урожай огородных культур	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
 Животные, наносящие вред за пределами парка	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0.25	0	0	0	0
 Нечеткие границы	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
 Количество проданного скота	0	0	0	0	0	-0.25	1	0	0	0	0	0	0	0	0	0	0	0	0
 Крупный рогатый скот в домашнем хозяйстве	-0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
 Доступные денежные средства	0	0	0	0	0	0.75	0	0.75	0	-0.5	-0.5	0.25	0	0	0	0	0	0	0
 Питание в домохозяйстве (обеспечение домохозяйства продовольствием)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Засуха	-0.75	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.5	0.25	0	0	-1	-0.25
 Падеж крупного рогатого скота	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
 Кража скота	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
 Общий урожай	0.25	0	0	0	0	0	0	0.25	0	0	-0.75	0	0	0	0	0	0	0	0
 Браконьерство	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
 Использование клубней жомбве	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0
 Болезни	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
 Государственные учреждения землепользования	0	0	0	0	0	0	0	0	0	0	-0.25	0	0.5	0	-0.75	0	-0.25	0.25	0
 Платежи	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0
 Сбор урожая высокогорных культур	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0
 Урожай на горных склонах	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
