	 Корм	 Урожай садового урожая	 DCA за пределами парка (Животные, наносящие вред за пределами парка)	 Нечеткие границы	 Крупный тягловый рогатый скот в домашнем хозяйстве	 Небольшое поголовье	 Доступные деньги	 Продукты питания в домохозяйстве	 Донорcкое продовольствие	 Падеж крупного рогатого скота	 Кража скота	 Общий урожай	 Сборы	 Браконьерство	 Использование клубней жомбве	 Внешние входы	 Государственные учреждения землепользования	 Урожай горных культур	 Сбор урожая в долине Влей	 Доступность рабочей силы	 Засуха
 Корм	0	0	0	0	0	-0.25	0	0	0	-0.75	0	0	0	-0.75	0	0	0	0	0	0	0
 Урожай садового урожая	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
 DCA за пределами парка (Животные, наносящие вред за пределами парка)	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
 Нечеткие границы	0	0	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	-0.25	0
 Крупный тягловый рогатый скот в домашнем хозяйстве	-0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
 Небольшое поголовье	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Доступные деньги	0	0	0	0	0.25	0.25	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
 Продукты питания в домохозяйстве	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Донорcкое продовольствие	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
 Падеж крупного рогатого скота	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Кража скота	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Общий урожай	0.25	0	0	0	0.25	0	0.5	1	-1	0	-0.25	0	0	-0.5	0	0	0	0	0	0.25	0
 Сборы	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Браконьерство	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Использование клубней жомбве	0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
 Внешние входы	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0.75	0.5	0	0
 Государственные учреждения землепользования	0	0	0	0	0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0.75	0	0	0	0.5	0
 Урожай горных культур	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0
 Сбор урожая в долине Влей	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0
 Доступность рабочей силы	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
 Засуха	-0.75	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	1	-0.25	0	0
