	 Интенсивность, частота и продолжительность выпадения осадков	 Заболоченные территории, болота, топи и заросли тростника	 Температура окружающего воздуха	 Чистый сток из бассейна	 Изменения уровня озер	 Инвазивные макрофиты	 Температура воды	 Качество и доступность мест обитаний	 Мутность	 Первичная продуктивность наземных растений	 Зоны с дефицитом кислорода	 Ухудшение качества воды	 Микробиологическое разложение
 Интенсивность, частота и продолжительность выпадения осадков	0	0.23	0	0.36	0	0	0	0	0.36	0	0	0	0
 Заболоченные территории, болота, топи и заросли тростника	0	0	0	0	0	0	0	-0.6	0	0	0	0	0
 Температура окружающего воздуха	0	0	0	0.04	0	0	0	0	0	0	0	0	0
 Чистый сток из бассейна	0	0	0	0	0.49	0	0	0	0	0	0	0	0
 Изменения уровня озер	0	0	0	0	0	-0.35	0	0	0	0	0	0	0
 Инвазивные макрофиты	0	0	0	0	0	0	0	-0.49	-0.37	0	0	0	0
 Температура воды	0	0.22	0	0	0	0	0	-0.2	0	0.46	0.39	0	0
 Качество и доступность мест обитаний	0	0	0	0	0	0	0	0	0	0	0	0	0
 Мутность	0	0	0	0	0	0	0	0	0	-0.37	0	0	0
 Первичная продуктивность наземных растений	0	0	0	0	0	0	0	0	0	0	0	0	0.35
 Зоны с дефицитом кислорода	0	0	0	0	0	0	0	0	0	0	0	0.32	0
 Ухудшение качества воды	0	0	0	0	0	0	0	-0.02	0	0	0	0	0
 Микробиологическое разложение	0	0	0	0	0	0	0	0	0	0	0.35	0	0
