	 Внесение изменений в конструкцию резервуаров, емкостей, насосов и контрольно-измерительных приборов	 Неправильное управление со стороны производителя труб	 Другие изменения конструкций владельцем	 Снижение производительности труда на предприятии	 Несвоевременное завершение монтажа трубопроводов	 Чрезмерное количество дефектов сварки труб	 Увеличение прямых и косвенных затрат на строительство	 Требование ускорения оставшихся строительных работ	 Задержка фактического срока завершения строительства	 Постепенное ухудшение отношений с клиентами
 Внесение изменений в конструкцию резервуаров, емкостей, насосов и контрольно-измерительных приборов	0	0	0	0	0.6	0	0	0	0	0
 Неправильное управление со стороны производителя труб	0	0	0	0.6	0	0.6	0	0	0	0
 Другие изменения конструкций владельцем	0	0	0	0	0.2	0	0	0	0	0
 Снижение производительности труда на предприятии	0	0	0	0	0	0	0.6	0	0	0
 Несвоевременное завершение монтажа трубопроводов	0	0	0	0	0	0	0	0.6	0.6	0
 Чрезмерное количество дефектов сварки труб	0	0	0	0	0	0	0	0.8	0.6	0
 Увеличение прямых и косвенных затрат на строительство	0	0	0	0	0	0	0	0	0	0.9
 Требование ускорения оставшихся строительных работ	0	0	0	0	0	0	0	0	0	0.9
 Задержка фактического срока завершения строительства	0	0	0	0	0	0	0	0	0	0.9
 Постепенное ухудшение отношений с клиентами	0	0	0	0	0	0	0	0	0	0
