	 Ошибки в рецептах	 Ошибки в расшифровке	 Ошибки в интерпретации	 Ошибки в приготовлении	 Ошибки в назначении лекарств	 Опыт	 Знания о терапии	 Знания о патологии	 Информация о пациенте	 Ошибочные процедуры	 Отсутствие процедур	 Идентификация пациента	 Стресс, связанный с работой	 Возникновение осложнений	 Привлечение внешнего персонала	 Качество клинической документации	 Клинический риск
 Ошибки в рецептах	0.00	0.24	0.23	0.27	0.23	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.26
 Ошибки в расшифровке	0.12	0.00	0.21	0.19	0.20	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.30
 Ошибки в интерпретации	0.17	0.30	0.00	0.20	0.13	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.28
 Ошибки в приготовлении	0.18	0.30	0.21	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25
 Ошибки в назначении лекарств	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
 Опыт	-0.35	-0.31	-0.35	-0.22	-0.27	0.00	0.13	0.00	0.00	-0.32	-0.16	0.00	0.00	0.00	-0.16	0.00	-0.22
 Знания о терапии	-0.12	-0.24	-0.23	-0.15	-0.11	0.00	0.00	0.00	0.00	-0.23	0.00	0.00	0.00	0.00	0.00	0.00	-0.13
 Знания о патологии	-0.15	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
 Информация о пациенте	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.12	0.00	-0.11	0.00	0.00	0.00
 Ошибочные процедуры	0.19	0.15	0.11	0.23	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14
 Отсутствие процедур	0.28	0.16	0.25	0.16	0.20	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.12	0.18	0.00	0.00	0.15
 Идентификация пациента	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
 Стресс, связанный с работой	0.13	0.00	0.20	0.16	0.13	0.00	0.00	0.00	0.00	0.15	0.00	0.17	0.00	0.00	0.00	0.00	0.10
 Возникновение осложнений	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00
 Привлечение внешнего персонала	0.11	0.00	0.11	0.10	0.12	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.14	0.22	0.00	0.00	0.00
 Качество клинической документации	0.12	0.20	0.22	0.12	0.14	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.12
 Клинический риск	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
