	 Квалификация водителя	 Дорожные условия	 Удельные затраты на эксплуатацию	 Условия эксплуатации	 Периодичность технического обслуживания	 Качество технического обслуживания и ремонта	 Качество конструкции автомобиля	 Качество эксплуатационных материалов и запасных частей	 Условия хранения	 Надежность и безопасность автомобиля
 Квалификация водителя	0	0	0	0	0.1	0	0	0	0	0.5
 Дорожные условия	0	0	0.3	0.4	0	0	0	0	0	0.3
 Удельные затраты на эксплуатацию	0	0	0	0	0	0	0	0	0	0.2
 Условия эксплуатации	0	0	0.5	0	0.6	0	0	0	0	0.7
 Периодичность технического обслуживания	0	0	-0.4	0	0	0	0	0	0	0.8
 Качество технического обслуживания и ремонта	0	0	0	0	0.1	0	0	0	0	0.4
 Качество конструкции автомобиля	0	0	-0.6	0	-0.5	0	0	0	0	0.6
 Качество эксплуатационных материалов и запасных частей	0	0	0.3	0	0.5	0	0	0	0	0
 Условия хранения	0	0	0	0	-0.1	0	0	0	0	0.1
 Надежность и безопасность автомобиля	0	0	0	0	0	0	0	0	0	0
