	 Способность к дифференциации	 Экспансия на новые рынки	 Гибкость организации и процессов	 Зрелость финансового рынка	 Доля рынка	 Состояние микрокультуры	 Способность реагировать на изменения рынка	 Угроза появления новых игроков	 Новые продукты	 Инвестиции в технологии	 Политика правительства	 Уровень внутренних издержек	 Размер финансового рынка	 Пприбыльность компании	 Уровень квалификации сотрудников
 Способность к дифференциации	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
 Экспансия на новые рынки	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 Гибкость организации и процессов	-0.8	0	0	0	0	0	0.8	0	0	0.8	0	0	0	0	0
 Зрелость финансового рынка	-0.8	0.85	0	0	0	0	0	0	-0.65	0	0	0	0	0	0
 Доля рынка	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
 Состояние микрокультуры	0	0	0.65	0	0	0	0	0	0	0.33	0	0	0	0	0
 Способность реагировать на изменения рынка	0	1	0	0	0	0	0	0	0.5	0	0	0	0	0	0
 Угроза появления новых игроков	0	0	0	-0.73	-0.65	0	0	0	-0.58	0	0	0	0	0	0
 Новые продукты	0	0.73	0	0	1	0	0	0	0	0	0	0.58	0	0	0
 Инвестиции в технологии	0	0	0	0	0	0	0.8	0	0.5	0	0	0	0	0	0
 Политика правительства	0	0	0	0	0	0	0	0	0	0	0	-0.85	0	0	0
 Уровень внутренних издержек	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
 Размер финансового рынка	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0
 Пприбыльность компании	0	0	0	0	0	0	0	0	0	-0.35	0	0	0	0	0.65
 Уровень квалификации сотрудников	0	0	0	0	0	0	1	0	0	0.2	0	0.73	0	0	0
