	 Внедрение электронного документооборота	 Количество электронных услуг	 Уровень проникновения широкополосной связи	 Навыки граждан в электронной сфере	 Государственные расходы	 Скорость предоставления государственных услуг 	 Уровень доступности государственных услуг	 Расходы на экономическое развитие	 Расходы на социальную защиту	 Уровень удовлетворенности граждан	 Региональный ВВП	 Качество жизни
 Внедрение электронного документооборота	0	0	0	0	-1	1	0	0	0	0	0	0
 Количество электронных услуг	0	0	0	0	-1	1	0.2	0	0	0	0	0
 Уровень проникновения широкополосной связи	0	0	0	0	-1	1	0.6	0	0	0	0	0
 Навыки граждан в электронной сфере	0	0	0	0	0	0	0.8	0	0	0	0	0
 Государственные расходы	0	0	0	0	0	0	0	1	0.2	0	0	0
 Скорость предоставления государственных услуг 	0	0	0	0	0	0	0	0	0	0.4	0	0
 Уровень доступности государственных услуг	0	0	0	0	0	0	0	0	0	0.6	0	0
 Расходы на экономическое развитие	0	0	0	0	0	0	0	0	0	0	0.4	0
 Расходы на социальную защиту	0	0	0	0	0	0	0	0	0	0	0	0.2
 Уровень удовлетворенности граждан	0	0	0	0	0	0	0	0	0	0	0	0.2
 Региональный ВВП	0	0	0	0	0	0	0	0	0.6	0.6	0	0.2
 Качество жизни	0	0	0	0	0	0	0	0	0	0	0	0
