	 Бездомность	 Участие в системе уголовного правосудия 	 Бедность 	 Безработица 	 Образование 	 Доход 	 Наркомания 	 Сеть социальной поддержки 	 Распад семьи 	 Психические заболевания 	 Неправительственная организация (НПО) 	 Бездомность детей 	 Государственная помощь 	 Стоимость жилья
 Бездомность	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Участие в системе уголовного правосудия 	0.625	0	0.773	0.502	0	0	0	0	0.773	0	0	0	0	0
 Бедность 	0	0.5	0	0	0	0	0.25	0	0.625	0	0	0	0	0
 Безработица 	0.352	0	0	0	0	0	0	0	0	0	0	0	0.75	0
 Образование 	-0.5	0	-0.773	-0.773	0	0.75	0	0	0	0	0	0	0	0
 Доход 	-0.648	0	0	0	0	0	0	0	0	0	0	0	0	0
 Наркомания 	0.648	0.648	0	0	0	0	0	0	0.773	0.625	0	0	0	0
 Сеть социальной поддержки 	0	0	0	0	0	0	-0.5	0	-0.366	0	0	0	0	0
 Распад семьи 	0.648	0	0	0	0	0	0.648	0	0	0	0	0.625	0	0
 Психические заболевания 	0.5	0.502	0	0	0	0	0.634	0	0.625	0	0	0	0	0
 Неправительственная организация (НПО) 	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
 Бездомность детей 	0	0	0	0	-0.625	0	0	0	0	0	0	0	0	0
 Государственная помощь 	-0.634	0	0	0	0	0	0	0	0	0	0	0	0	0
 Стоимость жилья	0.498	0	0	0	0	0	0	0	0	0	0	0	0	0
