	 Возможность адаптации информационных материалов	 Защита сообществ и частных земель	 Создание топливных перерывов	 Историческое землепользование	 Двустороннее взаимодействие между соседями	 Информационно-просветительская работа	 Эстетические ценности	 Рекреационная ценность	 Восстановление поймы	 Среда обитания диких животных	 Создание ландшафтов, устойчивых к пожарам	 Пожар высокой интенсивности	 Наблюдение за эффектами обработки	 Устойчивость к дыму от предписанного сжигания	 Предписанное сжигание	 Мозаика государственных, частных и племенных земель, структурное разнообразие	 Положительное воздействие на исчезающие виды	 Сокращение потребления топлива	 Планирование мер по снижению риска лесных пожаров	 Доступность ресурсов	 Конкурентоспособность для финансирования	 Ответственность	 Возможность осуществлять управление в более крупных масштабах	 Умение решать трансграничные проблемы	 Сотрудничество	 Коллективная экспертиза	С27. Возможность получить страховку
 Возможность адаптации информационных материалов	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Защита сообществ и частных земель	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Создание топливных перерывов	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Историческое землепользование	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Двустороннее взаимодействие между соседями	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Информационно-просветительская работа	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
 Эстетические ценности	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Рекреационная ценность	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Восстановление поймы	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Среда обитания диких животных	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 Создание ландшафтов, устойчивых к пожарам	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Пожар высокой интенсивности	0	-1	0	0	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Наблюдение за эффектами обработки	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Устойчивость к дыму от предписанного сжигания	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
 Предписанное сжигание	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
 Мозаика государственных, частных и племенных земель, структурное разнообразие	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Положительное воздействие на исчезающие виды	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 Сокращение потребления топлива	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Планирование мер по снижению риска лесных пожаров	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
 Доступность ресурсов	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
 Конкурентоспособность для финансирования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
 Ответственность	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
 Возможность осуществлять управление в более крупных масштабах	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
 Умение решать трансграничные проблемы	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
 Сотрудничество	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
 Коллективная экспертиза	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
С27. Возможность получить страховку	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
