	 Интенсивность, периодичность и продолжительность осадков	 Заболоченные земли, топи, топинамбуры и тростниковые заросли	 Чистый сток из бассейна	 Изменение уровня воды в озерах	 Мутность	 Температура окружающего воздуха	 Инвазивные макрофиты	 Температура воды	 Первичная продуктивность наземных растений	 Растворенный органический углерод и органические частицы углерода	 Удержание углерода в осадках	 Связывание углерода
 Интенсивность, периодичность и продолжительность осадков	0	0.23	0.66	0	0.56	0	0	0	0	0	0	0
 Заболоченные земли, топи, топинамбуры и тростниковые заросли	0	0	0	0	0	0	0	0	0	0	0	0.55
 Чистый сток из бассейна	0	0	0	0.49	0	0	0	0	0	0.52	0	0
 Изменение уровня воды в озерах	0	0	0	0	0	0	-0.35	0	0	0	0	0
 Мутность	0	0	0	0	0	0	0	0	0.42	0	0	0
 Температура окружающего воздуха	0	0.39	0.04	0	0	0	0	0	0	0	0	0
 Инвазивные макрофиты	0	0	0	0	-0.37	0	0	0	0	0.01	0	0.34
 Температура воды	0	0	0	0	0	0	0.34	0	0.46	0	0	0
 Первичная продуктивность наземных растений	0	0	0	0	0	0	0	0	0	0.33	0	0.59
 Растворенный органический углерод и органические частицы углерода	0	0	0	0	0	0	0	0	-0.33	0	0.59	0
 Удержание углерода в осадках	0	0	0	0	0	0	0	0	0	0	0	0.5
 Связывание углерода	0	0	0	0	0	0	0	0	0	0	0	0
