	 Личная мотивация	 Экономия средств	 Снижение уровня знаний	 Инвестиции в управление знаниями	 Инвестиции во внешние знания	 Доступность экспертных знаний	 Стоимость технологии	 Личное вознаграждение	 Текучесть кадров	 Уровень квалификации сотрудников	 Обучение персонала	 Инвестиции в обучение	 Расходы на персонал и управление	 Стоимость услуг	 Инвестиции в системы и процедуры	 Текучесть кадров в руководстве	 Обучение высшего руководства	 Общение с персоналом	 Микрокультура команды	 Микрокультура	 Культура САПР	 Инвестиции в средства коммуникации	 Региональная микрокультура
 Личная мотивация	0	0.85	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Экономия средств	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Снижение уровня знаний	0	0	0	0	0	-0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Инвестиции в управление знаниями	0	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Инвестиции во внешние знания	0	-0.9	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Доступность экспертных знаний	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
 Стоимость технологии	0	-0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Личное вознаграждение	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Текучесть кадров	0	0	0	0	0	0	0	0	0	-0.73	0	0	0	0	0	0	0	0	0	0	0	0	0
 Уровень квалификации сотрудников	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
 Обучение персонала	0	0	0	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0
 Инвестиции в обучение	0	-0.5	0	0	0	1	0	0	0	0	1	0	-0.55	0	0.35	0	1	0	0.58	0	0	0	0
 Расходы на персонал и управление	0	-0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Стоимость услуг	0	-0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Инвестиции в системы и процедуры	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.95	0	0
 Текучесть кадров в руководстве	0	0	0	0	0	0	0	0	0	-0.58	0	0	0	0	0	0	0	0	0	0	0	0	0
 Обучение высшего руководства	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0
 Общение с персоналом	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0
 Микрокультура команды	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
 Микрокультура	0	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Культура САПР	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
 Инвестиции в средства коммуникации	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.1	0	0.1
 Региональная микрокультура	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0
