	 Выбросы CO2	 Загрязнение воздуха и окружающей среды	 Твердые и жидкие отходы	 Экологическая устойчивость	 Общественное признание	 Феномен NIMBY (Not in My Backyard)	 Общественное доверие	 Страх и риск	 Инфраструктура региона для адаптации к новым технологиям	 Инновационные (запатентованные) методики	 Поддержка со стороны научно-исследовательских институтов и правительства	 Финансирование	 Новые предприятия	 Новые рабочие места	 Стоимость перехода 	 Затраты на ископаемое топливо	 Изменение жилищной инфраструктуры для использования ископаемого топлива	 Стоимость газа/нефтепродуктов для обеспечения мобильности транспортных средств	 Переход к новой политике в области энергетики
 Выбросы CO2	0	0	0.3	-0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Загрязнение воздуха и окружающей среды	0	0	0.83	0	0	0	-0.4	0.43	0	0	0	0	0	0	0	0	0	0	0
 Твердые и жидкие отходы	0	0	0	-0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Экологическая устойчивость	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
 Общественное признание	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
 Феномен NIMBY (Not in My Backyard)	0	0	0	-0.27	-0.3	0	0	0	0	0	0	0	-0.57	-0.2	0	0	0	0	0
 Общественное доверие	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Страх и риск	0	0	0	0	0	0	0	0	-0.61	0	0	0	0	0	0	0	0	0	0
 Инфраструктура региона для адаптации к новым технологиям	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Инновационные (запатентованные) методики	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Поддержка со стороны научно-исследовательских институтов и правительства	0	0	0	0	0	0	0.58	0	0	0.33	0	0.7	0	0.55	0	0	0	0	0
 Финансирование	0	0	0	0.47	0.54	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0
 Новые предприятия	0	0	0	0	0	-0.26	0	0	0	0	0	0	0	0.89	0	0	0	0	0
 Новые рабочие места	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Стоимость перехода 	0	0	0	-0.43	0	0	0	0	0.54	0	0	0	0	0	0	0	-0.68	0	0
 Затраты на ископаемое топливо	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0
 Изменение жилищной инфраструктуры для использования ископаемого топлива	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77
 Стоимость газа/нефтепродуктов для обеспечения мобильности транспортных средств	0	0	0	-0.48	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0.81
 Переход к новой политике в области энергетики	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
