	C1 Forage	C2 Garden Crop harvest	C3 Damage-causing animals outside the park	C4 Fuzzy boundaries	C5 Number of Cattle sold	C6 Cattle in husehold	C7 Available cash	C8 Food in household	C9 Drought	C10 Cattle deaths	C11 Cattle theft	C12 Total parvest	C13 Poaching	C14 Use of Zhombwe tubers	C15 Diseases	C16 Institutions	C17 Fees	C18 Upland Crop harvest	C19 Vlei Crop harvest
C1 Forage	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0
C2 Garden Crop harvest	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
C3 Damage-causing animals outside the park	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0.25	0	0	0	0
C4 Fuzzy boundaries	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
C5 Number of Cattle sold	0	0	0	0	0	-0.25	1	0	0	0	0	0	0	0	0	0	0	0	0
C6 Cattle in husehold	-0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
C7 Available cash	0	0	0	0	0	0.75	0	0.75	0	-0.5	-0.5	0.25	0	0	0	0	0	0	0
C8 Food in household	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9 Drought	-0.75	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.5	0.25	0	0	-1	-0.25
C10 Cattle deaths	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
C11 Cattle theft	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
C12 Total parvest	0.25	0	0	0	0	0	0	0.25	0	0	-0.75	0	0	0	0	0	0	0	0
C13 Poaching	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
C14 Use of Zhombwe tubers	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0
C15 Diseases	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
C16 Institutions	0	0	0	0	0	0	0	0	0	0	-0.25	0	0.5	0	-0.75	0	-0.25	0.25	0
C17 Fees	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0
C18 Upland Crop harvest	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0
C19 Vlei Crop harvest	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
