"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,286273","0,28627297","0,08195222","0,35894931"
"2","0,1967034","0,1062616","0,03869222","0,0494567"
"3","0,3706801","0,17921692","0,13740373","0,14067938"
"4","0,2506959","0,06906265","0,06284843","0,02089098"
"5","0,3359618","0,13983342","0,11287032","0,0856435"
"6","0,0630744","0,06307442","0,00397838","0,01742525"
"7","-0,0967986","-0,03451217","0,00936997","0,00521695"
"8","0,074874","0,07487398","0,00560612","0,02455468"
"9","0,2022663","0,15073413","0,04091165","0,09951662"
"10","0,3757994","0,11726593","0,14122518","0,06023045"
"11","0,3595043","0,13778268","0,12924333","0,08314989"
"12","0,4856938","0,11132912","0,23589845","0,05428627"
