"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","-0,0186891","0,0192966","0,00034928","0,00678923"
"2","0,007461","0,01379636","5,567E-05","0,00347047"
"3","-0,0328682","-0,03286825","0,00108032","0,01969754"
"4","0,0251992","0,0251992","0,000635","0,01157797"
"5","0,2503639","0,13350268","0,06268208","0,32496666"
"6","0,4675869","0,06119033","0,21863752","0,06826914"
"7","0,3998141","0,13496523","0,15985132","0,33212582"
"8","0,5044047","0,02774227","0,25442411","0,01403275"
"9","-0,0253413","-0,02534126","0,00064218","0,01170888"
"10","-0,2222252","-0,02739235","0,04938404","0,01368099"
"11","-0,4214144","-0,03830043","0,1775901","0,02674645"
"12","0,2396204","0,05342107","0,05741794","0,05203362"
"13","0,0134502","-0,00613266","0,00018091","0,00068574"
"14","-0,0035084","0,00916222","1,231E-05","0,00153059"
"15","-0,0527292","-0,0096796","0,00278037","0,00170834"
"16","0,0391658","0,03916579","0,00153396","0,02796872"
"17","-0,05794","-0,04814852","0,00335704","0,04226927"
"18","0,0946281","0,04501044","0,00895448","0,03693902"
"19","0,0207696","0,01443428","0,00043138","0,00379882"
