"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,1231029","0,1231029","0,01515433","0,13790375"
"2","0,2227012","0,13776024","0,04959583","0,172698"
"3","0,1330852","0,01490644","0,01771167","0,00202203"
"4","0,1334786","0,02435502","0,01781654","0,0053978"
"5","0,0193986","0,01939857","0,00037631","0,00342436"
"6","0,2108322","0,03521068","0,04445022","0,01128206"
"7","0,2957114","0,13091248","0,08744524","0,15595583"
"8","0,1642811","0,16428109","0,02698828","0,24559226"
"9","0,0933655","0,01615337","0,00871712","0,00237447"
"10","0,4721657","0,10417171","0,22294046","0,09875046"
"11","0,1335551","0,07441285","0,01783697","0,05038896"
"12","0,2184156","0,0239457","0,04770538","0,00521789"
"13","0,2713834","0,08189075","0,07364895","0,0610252"
"14","0,6079578","0,07260245","0,36961271","0,04796695"
