"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,0566708","0,00029698","0,00321158","0,0001437"
"2","0,1777514","0,00029584","0,03159556","0,00014259"
"3","0,0001808","0,00018081","3E-08","5,326E-05"
"4","0,0005294","0,00052939","2,8E-07","0,0004566"
"5","0,0007572","0,00028077","5,7E-07","0,00012844"
"6","0,0003965","0,0003965","1,6E-07","0,00025614"
"7","0,0008834","0,00088339","7,8E-07","0,00127143"
"8","0,0017464","0,00040171","3,05E-06","0,00026291"
"9","0,0009789","0,00028235","9,6E-07","0,00012989"
"10","0,4092745","0,01354817","0,16750561","0,29905372"
"11","0,4605888","0,00036355","0,21214203","0,00021534"
"12","0,2471538","0,00158906","0,061085","0,00411404"
"13","0,1362874","0,01350504","0,01857425","0,2971527"
"14","0,0013349","0,00133485","1,78E-06","0,00290304"
"15","0,1487282","0,01231715","0,02212008","0,24717719"
"16","0,1752328","0,00010303","0,03070653","1,729E-05"
"17","0,5028454","0,00029607","0,25285349","0,00014282"
"18","0,4473411","0,00444745","0,20011405","0,03222627"
"19","0,0013139","0,00051882","1,73E-06","0,00043855"
"20","0,0083499","0,00834993","6,972E-05","0,11359353"
"21","0,0035431","5,542E-05","1,255E-05","5E-06"
"22","0,000323","0,00023466","1E-07","8,972E-05"
"23","0,0003197","0,0001259","1E-07","2,582E-05"
