"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,0312445","-0,00033961","0,00097622","3,03E-06"
"2","0,1512643","0,02985288","0,02288089","0,02344691"
"3","-0,0180353","-0,01803527","0,00032527","0,00855773"
"4","0,0119323","0,01193235","0,00014238","0,00374598"
"5","0,2524693","-0,00318426","0,06374075","0,00026677"
"6","0,0819244","0,02120689","0,00671161","0,01183224"
"7","0,2741144","0,02384414","0,07513871","0,0149581"
"8","0,4441553","0,01705725","0,19727395","0,00765475"
"9","-0,4679562","-0,0133836","0,21898302","0,00471258"
"10","-0,0449831","-0,00080743","0,00202348","1,715E-05"
"11","-0,1382535","-0,00442966","0,01911403","0,00051624"
"12","0,4545726","0,07253007","0,20663626","0,13840421"
"13","-0,0489458","-0,02578196","0,00239569","0,01748819"
"14","-0,2782907","-0,00440718","0,07744572","0,00051102"
"15","0,0414847","0,00180062","0,00172098","8,53E-05"
"16","0,0781754","0,06881825","0,00611139","0,12460066"
"17","0,0926552","0,09265523","0,00858499","0,2258671"
"18","0,1724353","0,06089159","0,02973393","0,0975501"
"19","0,1022078","0,07634807","0,01044644","0,15335899"
"20","0,2163668","0,05937914","0,0468146","0,09276431"
"21","0,0529121","0,05291213","0,00279969","0,07365862"
