"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,1968357","0,0124887","0,03874428","0,00248119"
"2","0,555093","0,15050247","0,30812817","0,36034026"
"3","0,0033324","0,00474201","1,11E-05","0,00035773"
"4","0,0240922","0,02409218","0,00058043","0,00923374"
"5","0,0160615","0,01606146","0,00025797","0,00410389"
"6","0,0240922","0,02409218","0,00058043","0,00923374"
"7","0,6030005","0,13117141","0,36360953","0,27371835"
"8","0,5354636","0,14351329","0,28672121","0,3276497"
"9","0,0324552","0,02456893","0,00105334","0,0096028"
"10","0,0014855","0,00148551","2,21E-06","3,511E-05"
"11","0,0014855","0,00148551","2,21E-06","3,511E-05"
"12","-0,0157726","-0,01188891","0,00024877","0,00224859"
"13","0,0077674","0,00776741","6,033E-05","0,00095979"
