"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,7576105","0,02856296","0,57397374","0,00310414"
"2","-0,0407859","-0,12427604","0,00166349","0,05876385"
"3","-0,016693","-0,09883861","0,00027866","0,03716967"
"4","0,4596085","-0,18942288","0,21124","0,13652125"
"5","0,0736828","-0,20208228","0,00542916","0,15537884"
"6","-0,0126998","-0,2425041","0,00016128","0,22375542"
"7","0,0139987","-0,16984472","0,00019596","0,10975884"
"8","-0,1143335","-0,16731946","0,01307215","0,1065193"
"9","-0,1367672","-0,17578784","0,01870527","0,11757448"
"10","-0,2242148","-0,06212107","0,05027228","0,01468295"
"11","-0,223641","-0,05930384","0,0500153","0,01338138"
"12","-0,1868","-0,04308623","0,03489424","0,00706338"
"13","-0,200246","-0,06550568","0,04009847","0,01632651"
