"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,5560703","0,00891878","0,30921421","0,00721014"
"2","0,0758382","-0,02068023","0,00575143","0,03876532"
"3","0,2579041","0,01157479","0,06651453","0,01214392"
"4","0,2463293","0,01413293","0,06067813","0,01810494"
"5","0,558787","0,00271666","0,31224295","0,00066896"
"6","-0,1067046","-0,01018622","0,01138587","0,009405"
"7","0,1067046","0,01018622","0,01138587","0,009405"
"8","0,0965184","0,00085656","0,0093158","6,65E-05"
"9","0,0956619","-0,00349524","0,0091512","0,00110735"
"10","0,0824618","-0,03052786","0,00679995","0,08447446"
"11","-0,2382174","-0,00602108","0,05674754","0,00328611"
"12","-0,2321964","-0,02259734","0,05391517","0,04628575"
"13","0,0901367","-0,00552513","0,00812463","0,00276705"
"14","0,1001714","0,00464771","0,01003431","0,00195799"
"15","0,0835133","-0,00662348","0,00697447","0,00397654"
"16","0,0080671","-0,02803301","6,508E-05","0,07123151"
"17","0,1108152","0,00479358","0,01228001","0,00208282"
"18","0,1060216","0,0060093","0,01124058","0,00327326"
"19","-0,0531001","0,03978755","0,00281962","0,1434918"
"20","-0,1000123","-0,00712467","0,01000246","0,00460111"
"21","0,1167113","0,02382368","0,01362153","0,05144585"
"22","-0,0928877","0,03565859","0,00862813","0,11525533"
"23","-0,0557362","-0,06380326","0,00310652","0,36899326"
"24","0","0","0","0"
