"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","-0,0385377","0,00473519","0,00148515","0,00571917"
"2","0,4542077","0,01123402","0,20630464","0,03219057"
"3","0,0495362","0,03122255","0,00245384","0,24865375"
"4","0,0045549","-0,00413707","2,075E-05","0,0043656"
"5","0,6262552","0,00951737","0,39219559","0,02310427"
"6","0,0281748","0,02817478","0,00079382","0,2024787"
"7","0,3120386","0,01998828","0,09736809","0,1019082"
"8","-0,0119068","-0,01190681","0,00014177","0,03616172"
"9","0,1740595","0,01508035","0,03029671","0,05800709"
"10","-0,0019709","0,02354643","3,88E-06","0,14141921"
"11","0,0049646","0,00496458","2,465E-05","0,00628671"
"12","0,2762996","-0,00585365","0,07634147","0,00874001"
"13","0,0024631","0,00246308","6,07E-06","0,00154745"
"14","0,3578387","0,00702099","0,12804854","0,01257347"
"15","0,2539981","0,02140298","0,06451504","0,11684409"
