"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,1971905","0,04935885","0,03888409","0,01383352"
"2","0,0519537","0,02876992","0,00269919","0,00469981"
"3","0,1024271","0,10242711","0,01049131","0,05957068"
"4","0,1759325","0,23655696","0,03095224","0,31774168"
"5","-0,0719872","-0,07198724","0,00518216","0,02942482"
"6","0,1647224","0,09140135","0,02713347","0,04743599"
"7","-0,2452373","-0,09474802","0,06014133","0,05097333"
"8","0,1521548","0,07760426","0,02315108","0,03419588"
"9","-0,23454","-0,0411372","0,05500901","0,00960887"
"10","-0,6941122","-0,14281489","0,4817917","0,11581097"
"11","-0,0869736","-0,00622185","0,00756441","0,00021981"
"12","-0,1179579","-0,09851553","0,01391406","0,05510768"
"13","0,3753648","0,15159321","0,14089872","0,13048549"
"14","0,0777697","0,07776967","0,00604813","0,03434181"
"15","0,3100631","0,13039893","0,09613912","0,09654967"
