"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,0758309","0,07583094","0,00575033","0,07069883"
"2","0,1249211","0,12492112","0,01560528","0,19186294"
"3","0,0252774","0,02527744","0,00063895","0,00785571"
"4","0,1282483","0,05329567","0,01644763","0,03492233"
"5","0,1668384","0,11628431","0,02783505","0,16624998"
"6","0,212707","0,13775432","0,04524427","0,23330809"
"7","0,1479421","0,07099304","0,02188686","0,06196563"
"8","0,3579052","0,08763662","0,12809613","0,09442578"
"9","0,3115947","0,08386748","0,09709125","0,08647818"
"10","0,8008772","0,06517947","0,64140426","0,05223252"
