"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,1727289","0,17272891","0,02983527","0,19326746"
"2","0,1278898","0,01561604","0,0163558","0,00157969"
"3","0,1924969","0,06985936","0,03705505","0,03161389"
"4","0,5705567","0,13714734","0,32553493","0,12184381"
"5","0,4563767","0,08055545","0,20827968","0,04203572"
"6","0,1703067","0,17030674","0,02900437","0,1878851"
"7","0,3150971","0,17544557","0,09928618","0,19939465"
"8","0,4057377","0,17256582","0,16462307","0,19290267"
"9","-0,2708824","-0,04142968","0,07337727","0,01111864"
"10","-0,1180075","-0,05106545","0,01392577","0,01689208"
"11","0,0503646","-0,00635291","0,00253659","0,00026144"
"12","-0,0136381","-0,01363807","0,000186","0,00120485"
