"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","0,556317","0,02426405","0,30948866","0,01755326"
"2","0,4077434","0,01327974","0,16625471","0,00525788"
"3","0,0825992","-0,02866419","0,00682263","0,02449687"
"4","0,0378863","0,03788631","0,00143537","0,04279528"
"5","0,02558","0,02558002","0,00065434","0,01950891"
"6","0,1693363","0,04312203","0,02867479","0,05544082"
"7","-0,0116226","-0,01162261","0,00013508","0,00402753"
"8","0,2552576","0,03061084","0,06515645","0,02793713"
"9","-0,0283098","-0,02830985","0,00080144","0,02389496"
"10","0,4141386","0,03751711","0,17151081","0,04196527"
"11","0,1654916","0,03292625","0,02738747","0,03232331"
"12","0,1325654","0,13256536","0,01757359","0,52395184"
"13","-0,0854317","-0,0125208","0,00729858","0,00467407"
"14","-0,0123063","-0,01230628","0,00015145","0,00451528"
"15","0,0748913","0,02849342","0,00560871","0,02420585"
"16","-0,0224927","-0,02249275","0,00050592","0,01508399"
"17","0,1507551","0,0181897","0,0227271","0,00986466"
"18","0,1131339","0,03030622","0,01279928","0,02738387"
"19","0,2281507","0,0407741","0,05205275","0,04956784"
"20","0,3077352","0,03296204","0,09470097","0,03239362"
"21","0,0906115","0,01971178","0,00821045","0,01158465"
"22","-0,0024701","-0,00247014","6,1E-06","0,00018192"
"23","0,0065838","0,00683086","4,335E-05","0,00139118"
