"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","-0,1102135","-0,0727751","0,01214702","0,20157605"
"2","0,092071","-0,03838859","0,00847707","0,05608899"
"3","-0,1693897","-0,10188064","0,02869287","0,39505415"
"4","-0,1804491","-0,0622538","0,03256188","0,14750442"
"5","0,3039436","0,03628869","0,09238172","0,05012056"
"6","-0,359808","-0,03038283","0,12946181","0,03513417"
"7","0,1825674","-0,0045267","0,03333086","0,0007799"
"8","0,0719076","0,01767004","0,0051707","0,01188361"
"9","-0,1152845","-0,03051161","0,01329052","0,03543264"
"10","0,5086054","0,01357113","0,25867947","0,0070098"
"11","0,4789097","0,01201214","0,22935452","0,00549179"
"12","-0,3789207","-0,03735892","0,14358091","0,05312047"
"13","-0,0035007","-0,00350069","1,225E-05","0,00046642"
"14","0,1133949","0,00297573","0,0128584","0,00033702"
