	C1 Forage	C2 Garden Crop harvest	C3 Fuzzy boundaries	C4 Remittances	C5 Drought	C6 Cattle in household	C7 Off-farm activities	C8 Available cash	C9 Food in household	C10 Donor food 	C11 Poaching	C12 Fees	C13 Total harvest	C14 Institutions	C15 Vlei Crop harvest
C1 Forage	0	0	0	0	0	-0.25	0	0	0	0	0	0	0.25	0	0
C2 Garden Crop harvest	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
C3 Fuzzy boundaries	0	0	0	0.5	0	0	0.25	0	0.25	0	0	0	0	0	0
C4 Remittances	0	0	0	0	0	0	-0.25	0.5	0	-1	0	0	0	0	0
C5 Drought	-0.75	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	-0.5
C6 Cattle in household	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0.5
C7 Off-farm activities	0	0	0	0	0	-0.5	0	0.5	0.25	0	0.25	0	0	0	-0.25
C8 Available cash	0	0	0	0	0	0	-0.75	0	0.5	0	0	0	0	0	0
C9 Food in household	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10 Donor food 	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
C11 Poaching	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0
C12 Fees	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
C13 Total harvest	0.25	0	0	-0.25	0	0	0	0	0.25	-1	0	0	0	0	0
C14 Institutions	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0.25	0	0
C15 Vlei Crop harvest	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
